# full_run_table: **Per-run reproducibility CSV (not in supplement PDF; available in the code repository at `results/supplement_tables/full_run_table.csv`).** All 66 Phase 9 training runs. Synthetic blocks (clean + 3 noise levels) use 3 seeds per (condition, method) cell; experimental blocks use 5 seeds. Ground-truth D in normalized PINN coordinates is 0.01975 for synthetic; experimental D has no ground truth (LS-fit anchor is reported in Table S-FRAP3 only as a literature reference).
method,seed,condition,lambda_phys,init_D,D_recovered,D abs err,D % err,val_mse,median_strong_resid,median_weak_resid,k,notes
strong,1,real_56ww,1.0,0.05,0.0125,,,1.811e-03,2.513e-03,9.032e-05,0.0040,no ground-truth D (real stack)
strong,2,real_56ww,1.0,0.05,0.0147,,,1.762e-03,7.770e-04,5.725e-05,0.0040,no ground-truth D (real stack)
strong,3,real_56ww,1.0,0.05,0.0147,,,1.773e-03,1.017e-03,9.594e-05,0.0040,no ground-truth D (real stack)
strong,4,real_56ww,1.0,0.05,0.0137,,,1.772e-03,1.466e-03,4.656e-05,0.0040,no ground-truth D (real stack)
weak,0,real_56ww,30.0,0.05,0.0152,,,1.813e-03,1.124e-02,1.019e-03,0.0004,no ground-truth D (real stack)
weak,1,real_56ww,30.0,0.05,0.0159,,,1.910e-03,9.255e-03,9.521e-04,0.0006,no ground-truth D (real stack)
weak,2,real_56ww,30.0,0.05,0.0153,,,1.740e-03,8.636e-03,2.123e-04,0.0008,no ground-truth D (real stack)
weak,3,real_56ww,30.0,0.05,0.0159,,,1.760e-03,5.178e-03,1.607e-04,0.0003,no ground-truth D (real stack)
weak,4,real_56ww,30.0,0.05,0.0154,,,1.835e-03,1.038e-02,6.375e-04,0.0006,no ground-truth D (real stack)
strong,0,real_56ww,1.0,0.05,0.0126,,,1.720e-03,2.092e-03,1.266e-04,0.0098,no ground-truth D (real stack)
strong,1,real_56ww,1.0,0.05,0.0129,,,1.711e-03,1.850e-03,2.861e-04,0.0099,no ground-truth D (real stack)
strong,2,real_56ww,1.0,0.05,0.0142,,,1.743e-03,8.169e-04,4.911e-05,0.0095,no ground-truth D (real stack)
strong,3,real_56ww,1.0,0.05,0.0143,,,1.681e-03,8.458e-04,5.142e-05,0.0096,no ground-truth D (real stack)
strong,4,real_56ww,1.0,0.05,0.0121,,,1.755e-03,2.809e-03,1.240e-04,0.0097,no ground-truth D (real stack)
weak,0,real_56ww,30.0,0.05,0.0146,,,1.784e-03,9.442e-03,4.471e-04,0.0068,no ground-truth D (real stack)
weak,1,real_56ww,30.0,0.05,0.0149,,,1.809e-03,8.005e-03,3.994e-04,0.0070,no ground-truth D (real stack)
weak,2,real_56ww,30.0,0.05,0.0153,,,1.738e-03,9.330e-03,1.796e-04,0.0065,no ground-truth D (real stack)
weak,3,real_56ww,30.0,0.05,0.0154,,,1.732e-03,6.713e-03,1.198e-04,0.0058,no ground-truth D (real stack)
weak,4,real_56ww,30.0,0.05,0.0156,,,1.710e-03,7.584e-03,2.240e-04,0.0070,no ground-truth D (real stack)
data,0,real_56ww,0.0,0.05,0.0500,,,1.762e-03,8.555e-03,5.091e-04,0.0003,no ground-truth D (real stack)
data,1,real_56ww,0.0,0.05,0.0500,,,1.879e-03,1.182e-02,4.670e-04,0.0003,no ground-truth D (real stack)
data,2,real_56ww,0.0,0.05,0.0500,,,1.823e-03,1.537e-02,9.125e-04,0.0003,no ground-truth D (real stack)
data,3,real_56ww,0.0,0.05,0.0500,,,1.757e-03,9.725e-03,8.814e-04,0.0003,no ground-truth D (real stack)
data,4,real_56ww,0.0,0.05,0.0500,,,1.877e-03,1.479e-02,3.732e-04,0.0003,no ground-truth D (real stack)
strong,0,real_56ww,1.0,0.05,0.0121,,,1.800e-03,1.846e-03,1.285e-04,0.0050,no ground-truth D (real stack)
strong,1,real_56ww,1.0,0.05,0.0139,,,1.783e-03,1.364e-03,1.110e-04,0.0049,no ground-truth D (real stack)
strong,2,real_56ww,1.0,0.05,0.0145,,,1.764e-03,8.499e-04,1.093e-04,0.0048,no ground-truth D (real stack)
strong,3,real_56ww,1.0,0.05,0.0146,,,1.743e-03,8.453e-04,9.521e-05,0.0048,no ground-truth D (real stack)
strong,4,real_56ww,1.0,0.05,0.0119,,,1.751e-03,2.187e-03,1.985e-04,0.0052,no ground-truth D (real stack)
weak,0,real_56ww,30.0,0.05,0.0147,,,1.797e-03,6.330e-03,5.395e-04,0.0016,no ground-truth D (real stack)
weak,1,real_56ww,30.0,0.05,0.0151,,,1.874e-03,9.871e-03,5.666e-04,0.0018,no ground-truth D (real stack)
weak,2,real_56ww,30.0,0.05,0.0156,,,1.768e-03,8.063e-03,3.591e-04,0.0021,no ground-truth D (real stack)
weak,3,real_56ww,30.0,0.05,0.0157,,,1.753e-03,5.792e-03,1.971e-04,0.0017,no ground-truth D (real stack)
weak,4,real_56ww,30.0,0.05,0.0152,,,1.791e-03,6.650e-03,4.415e-04,0.0024,no ground-truth D (real stack)
