harpnum,t0,obs_coverage,l_data_weak,l_data_baseline
6223,2016-01-04 18:00:00+00:00,0.9795918367346939,0.0013900724006816745,0.0010471618734300137
6224,2016-01-04 21:00:00+00:00,0.9591836734693877,0.001770366565324366,0.0015184249496087432
6227,2016-01-04 22:00:00+00:00,0.9591836734693877,0.0009247006964869797,0.0007807246292941272
6223,2016-01-05 00:00:00+00:00,0.9591836734693877,0.0012544597266241908,0.0009566092048771679
6224,2016-01-05 03:00:00+00:00,0.9591836734693877,0.001887573511339724,0.00163333083037287
6227,2016-01-05 04:00:00+00:00,0.9591836734693877,0.0009196495520882308,0.0007803404587320983
6223,2016-01-05 06:00:00+00:00,0.9591836734693877,0.001235377974808216,0.0009747541043907404
6224,2016-01-05 09:00:00+00:00,0.9591836734693877,0.0018773373449221253,0.001650860533118248
6231,2016-01-05 09:00:00+00:00,0.9591836734693877,0.0007811103132553399,0.0006709531298838556
6227,2016-01-05 10:00:00+00:00,0.9591836734693877,0.0010966014815494418,0.0009459901484660804
6223,2016-01-05 12:00:00+00:00,0.9591836734693877,0.0014226740458980203,0.0011195968836545944
6224,2016-01-05 15:00:00+00:00,0.9591836734693877,0.002049335278570652,0.001837087795138359
6231,2016-01-05 15:00:00+00:00,0.9591836734693877,0.0007487352122552693,0.0006731150206178427
6227,2016-01-05 16:00:00+00:00,0.9591836734693877,0.0013637238880619407,0.0011832758318632841
6223,2016-01-05 18:00:00+00:00,0.9591836734693877,0.0015827245078980923,0.0012309531448408961
6224,2016-01-05 21:00:00+00:00,0.9591836734693877,0.0016437502345070243,0.0014818176859989762
6231,2016-01-05 21:00:00+00:00,0.9591836734693877,0.0006741077522747219,0.0006107388762757182
6227,2016-01-05 22:00:00+00:00,0.9591836734693877,0.001173011609353125,0.0010162522085011005
6223,2016-01-06 00:00:00+00:00,0.9591836734693877,0.0014252577675506473,0.0010977612109854817
6224,2016-01-06 03:00:00+00:00,0.9591836734693877,0.0016219803364947438,0.0014476686483249068
6231,2016-01-06 03:00:00+00:00,0.9591836734693877,0.0007258525001816452,0.0006724206614308059
6227,2016-01-06 04:00:00+00:00,0.9591836734693877,0.0010483384830877185,0.0009096327121369541
6223,2016-01-06 06:00:00+00:00,0.9591836734693877,0.0015227003023028374,0.0011756018502637744
6224,2016-01-06 09:00:00+00:00,0.9591836734693877,0.0016036367742344737,0.0014548726612702012
6231,2016-01-06 09:00:00+00:00,0.9591836734693877,0.0007470460259355605,0.0006846575997769833
6227,2016-01-06 10:00:00+00:00,0.9591836734693877,0.00096372194821015,0.0008416687487624586
6223,2016-01-06 12:00:00+00:00,0.9591836734693877,0.0017683868063613772,0.001367200631648302
6224,2016-01-06 15:00:00+00:00,0.9183673469387755,0.0017388429259881377,0.001601490774191916
6231,2016-01-06 15:00:00+00:00,0.9183673469387755,0.0008134464151225984,0.0007251861388795078
6227,2016-01-06 16:00:00+00:00,0.8979591836734694,0.0012287087738513947,0.0010878390166908503
6223,2016-01-06 18:00:00+00:00,0.8571428571428571,0.0019081304781138897,0.0014977054670453072
6224,2016-01-06 21:00:00+00:00,0.8571428571428571,0.0014653941616415977,0.0013807598734274507
6231,2016-01-06 21:00:00+00:00,0.8571428571428571,0.0007039718329906464,0.0006142154452390969
6227,2016-01-06 22:00:00+00:00,0.8571428571428571,0.0008964322623796761,0.0007955373730510473
6223,2016-01-07 00:00:00+00:00,0.8571428571428571,0.0017361504724249244,0.0013495134189724922
6224,2016-01-07 03:00:00+00:00,0.8571428571428571,0.0013568354770541191,0.0012591496342793107
6231,2016-01-07 03:00:00+00:00,0.8571428571428571,0.0007201111875474453,0.0006528929807245731
6227,2016-01-07 04:00:00+00:00,0.8571428571428571,0.0009803409921005368,0.0008642798638902605
6223,2016-01-07 06:00:00+00:00,0.8571428571428571,0.0017816697945818305,0.0013776198029518127
6224,2016-01-07 09:00:00+00:00,0.8571428571428571,0.0013366332277655602,0.0012361443368718028
6231,2016-01-07 09:00:00+00:00,0.8571428571428571,0.0006545496289618313,0.0005865581333637238
6227,2016-01-07 10:00:00+00:00,0.8571428571428571,0.0009773415513336658,0.0008755028247833252
6223,2016-01-07 12:00:00+00:00,0.8571428571428571,0.0019997956696897745,0.0015495804836973548
6224,2016-01-07 15:00:00+00:00,0.8571428571428571,0.0012779453536495566,0.0011847071582451463
6231,2016-01-07 15:00:00+00:00,0.8571428571428571,0.0006130036781542003,0.0005517055396921933
6227,2016-01-07 16:00:00+00:00,0.8571428571428571,0.0009444777970202267,0.0008507111924700439
6223,2016-01-07 18:00:00+00:00,0.8571428571428571,0.0018707457929849625,0.0014674821868538857
6224,2016-01-07 21:00:00+00:00,0.8571428571428571,0.001118944608606398,0.001047934521920979
6231,2016-01-07 21:00:00+00:00,0.7551020408163265,0.0007117726490832865,0.0006405519670806825
6227,2016-01-07 22:00:00+00:00,0.8571428571428571,0.000948780681937933,0.0008364978129975498
6223,2016-01-08 00:00:00+00:00,0.8571428571428571,0.0017612735973671079,0.001368036144413054
6242,2016-01-08 00:00:00+00:00,0.8571428571428571,0.003410046687349677,0.002714491216465831
6224,2016-01-08 03:00:00+00:00,0.8571428571428571,0.0010578329674899578,0.0009973607957363129
6231,2016-01-08 03:00:00+00:00,0.6326530612244898,0.0008813205058686435,0.0008401306695304811
6227,2016-01-08 04:00:00+00:00,0.8571428571428571,0.001115547027438879,0.0009799693943932652
6223,2016-01-08 06:00:00+00:00,0.8571428571428571,0.0016703932778909802,0.0013006353983655572
6242,2016-01-08 06:00:00+00:00,0.8571428571428571,0.0029578106477856636,0.002382342703640461
6224,2016-01-08 09:00:00+00:00,0.8571428571428571,0.0009835720993578434,0.0009206972899846733
6231,2016-01-08 09:00:00+00:00,0.5714285714285714,0.0006524936179630458,0.0005751351709477603
6227,2016-01-08 10:00:00+00:00,0.8571428571428571,0.0015792609192430973,0.0013776123523712158
6223,2016-01-08 12:00:00+00:00,0.8571428571428571,0.0017626628978177905,0.0013935925671830773
6242,2016-01-08 12:00:00+00:00,0.8571428571428571,0.002725379541516304,0.0021936537232249975
6224,2016-01-08 15:00:00+00:00,0.8775510204081632,0.0008668299415148795,0.0008000843226909637
6227,2016-01-08 16:00:00+00:00,0.8979591836734694,0.0015289206057786942,0.0013516306644305587
6223,2016-01-08 18:00:00+00:00,0.9387755102040817,0.0016729513881728053,0.001342425006441772
6242,2016-01-08 18:00:00+00:00,0.9387755102040817,0.003262311452999711,0.00259677623398602
6224,2016-01-08 21:00:00+00:00,0.9795918367346939,0.0007977623608894646,0.0007368980441242456
6227,2016-01-08 22:00:00+00:00,1.0,0.0016640909016132355,0.0014476585201919079
6223,2016-01-09 00:00:00+00:00,1.0,0.0015946984058246017,0.001293556997552514
6242,2016-01-09 00:00:00+00:00,1.0,0.002755429595708847,0.0022329494822770357
6246,2016-01-09 01:00:00+00:00,1.0,0.0011829253053292632,0.0010296979453414679
6224,2016-01-09 03:00:00+00:00,1.0,0.0007273019873537123,0.0006767527083866298
6227,2016-01-09 04:00:00+00:00,1.0,0.0016612340696156025,0.0014476990327239037
6223,2016-01-09 06:00:00+00:00,1.0,0.0015559853054583073,0.0012669533025473356
