autocorr_u,r_u_Bz,mean_curl_at_pil,mean_curl_off_pil,pil_pixel_count,u_mag_mean,u_mag_max,harpnum,t0,label,obs_coverage
0.9752303055975741,-0.3211145568536234,0.0007511326693929732,0.00022780046856496483,3277,0.008375925943255424,0.039761900901794434,6681,2016-07-16 13:00:00+00:00,quiet,1.0
0.9857723084938774,0.4539019803550799,0.0011879362864419818,0.00039589940570294857,3277,0.009202164597809315,0.0403595007956028,6683,2016-07-18 16:00:00+00:00,quiet,1.0
0.9906426435340779,0.6039456782398891,0.0005647814832627773,0.000181965297088027,3277,0.00477847084403038,0.022252213209867477,6684,2016-07-19 06:00:00+00:00,quiet,0.2653061224489796
0.9882753806183457,0.48879811525139816,0.001239742967300117,0.0003891329688485712,3277,0.007251352071762085,0.040425680577754974,6688,2016-07-30 04:00:00+00:00,quiet,1.0
0.9871594473319867,0.8969735810499108,0.0021200121846050024,0.0007206256850622594,3277,0.010926281102001667,0.046814315021038055,6692,2016-08-09 09:00:00+00:00,quiet,1.0
0.9896941759125295,0.9245302130794086,0.0016061936039477587,0.0005496148951351643,3277,0.009877587668597698,0.04564592242240906,6693,2016-08-08 03:00:00+00:00,quiet,1.0
0.9871351837131578,0.5645923927361844,0.001249303575605154,0.0003673619357869029,3277,0.006779531016945839,0.039943963289260864,6699,2016-08-09 01:00:00+00:00,quiet,1.0
0.9778665820614142,0.7517012504252273,0.0015659007476642728,0.0005357976770028472,3277,0.007500361651182175,0.0370151661336422,6703,2016-08-15 13:00:00+00:00,quiet,1.0
0.9882648284815301,0.49739307253662435,0.0012228100094944239,0.000332097610225901,3277,0.009148411452770233,0.04070429131388664,6711,2016-08-19 18:00:00+00:00,quiet,1.0
0.988192712457476,0.5728950691288721,0.0008606999181210995,0.0002922368876170367,3277,0.00860146339982748,0.029958097264170647,6715,2016-08-23 09:00:00+00:00,quiet,0.9183673469387755
0.9562521136640487,0.1797475410580687,0.0009386842721141875,0.0002867910952772945,3277,0.00857592560350895,0.02643762156367302,6716,2016-08-24 02:00:00+00:00,quiet,0.9183673469387755
0.9893533681859257,0.9287652970786547,0.001920736744068563,0.000617760349996388,3277,0.009482508525252342,0.04841986671090126,6722,2016-08-30 14:00:00+00:00,quiet,0.9183673469387755
0.9848872494847203,0.3413618698279111,0.0008710716501809657,0.0002734737645369023,3277,0.008692052215337753,0.03328414261341095,6728,2016-08-31 09:00:00+00:00,quiet,0.9183673469387755
0.9753346617547873,0.4062890923454486,0.0015208128606900573,0.0005549901397898793,3277,0.009014405310153961,0.03613046184182167,6731,2016-09-07 10:00:00+00:00,quiet,0.9183673469387755
0.9910356489674464,0.8023898857705326,0.001637500710785389,0.000489752390421927,3277,0.01018580049276352,0.04113154858350754,6732,2016-09-03 01:00:00+00:00,quiet,0.9183673469387755
0.9784757113342718,0.899487735928669,0.0013312187511473894,0.0003628985723480582,3277,0.008556554093956947,0.04558093845844269,6737,2016-09-14 16:00:00+00:00,quiet,1.0
0.9824083964502782,0.2962674298345188,0.0010117897763848305,0.0003067113284487277,3277,0.008373137563467026,0.027615856379270554,6745,2016-09-16 22:00:00+00:00,quiet,1.0
0.9836459119224932,0.9651241867603186,0.0017612656811252236,0.0004302854649722576,3277,0.008167852647602558,0.0386657640337944,6752,2016-09-14 13:00:00+00:00,quiet,1.0
0.9839307199633771,0.9404385711510667,0.0013723948504775763,0.00031917679007165134,3277,0.008340972475707531,0.03636116161942482,6754,2016-09-18 01:00:00+00:00,quiet,1.0
0.9829228514303923,0.7452197936341265,0.0016291929641738534,0.00044525181874632835,3277,0.01060422882437706,0.041580382734537125,6759,2016-09-21 11:00:00+00:00,quiet,1.0
0.9856576128834948,0.5946310021989597,0.0014318994944915175,0.00045524892630055547,3277,0.010393897071480751,0.035354115068912506,6764,2016-09-20 04:00:00+00:00,quiet,1.0
0.9779361167336508,0.33705431695970545,0.000888389244209975,0.0002704453654587269,3277,0.008424893021583557,0.035152617841959,6769,2016-09-21 01:00:00+00:00,quiet,1.0
0.9937326042561716,0.9554658482007331,0.0015206971438601613,0.00042727755499072373,3277,0.008140327408909798,0.042163677513599396,6774,2016-09-24 02:00:00+00:00,quiet,1.0
0.9836111196902121,0.27808210492325836,0.0011892268666997552,0.00036773469764739275,3277,0.008223898708820343,0.041319891810417175,6789,2016-10-03 19:00:00+00:00,quiet,1.0
0.9881863372204991,0.7437999350315105,0.0011871802853420377,0.0004401055339258164,3277,0.009210576303303242,0.033926669508218765,6794,2016-10-04 20:00:00+00:00,quiet,1.0
0.9942508589660359,0.8295685889500025,0.001120096305385232,0.0003156072925776243,3277,0.007472079247236252,0.05166805908083916,6798,2016-10-07 23:00:00+00:00,quiet,1.0
0.9851635924293979,0.8937214256838638,0.0018810270121321082,0.0005883409176021814,3277,0.01019640639424324,0.04819197952747345,6803,2016-10-18 08:00:00+00:00,quiet,1.0
0.9820926232411171,0.8459749880101813,0.0020685186609625816,0.0006668023415841162,3277,0.010313793085515499,0.03790503740310669,6815,2016-10-25 03:00:00+00:00,quiet,1.0
0.9826844064415471,0.8137016477268473,0.0015918558929115534,0.0005412725731730461,3277,0.009731311351060867,0.03838464617729187,6820,2016-10-30 10:00:00+00:00,quiet,1.0
